CFB / MBB / WBB — FINANCIAL ANALYSIS DASHBOARD,,,,,
NCAA Division I Athletics — 2015–2023 | Power 5 vs Group of 5 vs FCS,,,,,
"Source: EADA (U.S. Dept. of Education) | Sport-specific revenue, expenses, game-day costs, roster sizes",,,,,
,,,,,
2023 SNAPSHOT — AVERAGE BY TIER,,,,,
,,,,,
COLLEGE FOOTBALL (CFB),,,,,
Metric,Power 5,Group of 5,FCS,P5–G5 Gap,P5–FCS Gap
Revenue,75882787,14637881,5291977,61244906,70590810
Expenses,47897367,14479472,5190173,33417895,42707194
Game-Day OpEx,7471213,2908682,925076,4562531,6546137
Avg Roster Size,125,120,114,5,11
Surplus/Deficit,27985420,158409,101804,27827011,27883616
,,,,,
MEN'S BASKETBALL (MBB),,,,,
Metric,Power 5,Group of 5,FCS,P5–G5 Gap,P5–FCS Gap
Revenue,16829874,4395052,2766070,12434822,14063804
Expenses,13462927,4265801,2638422,9197126,10824505
Game-Day OpEx,2771837,1017769,619819,1754068,2152018
Avg Roster Size,16,15,16,1,0
Surplus/Deficit,3366947,129251,127648,3237696,3239299
,,,,,
WOMEN'S BASKETBALL (WBB),,,,,
Metric,Power 5,Group of 5,FCS,P5–G5 Gap,P5–FCS Gap
Revenue,4295969,2554247,1711621,1741722,2584348
Expenses,6446520,2604471,1733680,3842049,4712840
Game-Day OpEx,1816456,700863,372859,1115593,1443597
Avg Roster Size,21,17,16,4,5
Surplus/Deficit,-2150551,-50224,-22059,-2100327,-2128492
,,,,,
CFB AVERAGE REVENUE BY TIER — TREND,,,,,
Year,Power 5,Group of 5,FCS,P5–G5 Gap,
2015,51195485,9686685,3758017,41508800,
2016,54092372,10491540,3936232,43600832,
2017,58254571,11011879,4100325,47242692,
2018,60228326,11444345,4242998,48783981,
2019,60885558,11340026,4190398,49545532,
2020,39167488,9806068,3885868,29361420,
2021,66112894,12579516,4571524,53533378,
2022,72005171,13962197,4913022,58042974,
2023,75882787,14637881,5291977,61244906,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
MBB AVERAGE REVENUE BY TIER — TREND,,,,,
Year,Power 5,Group of 5,FCS,P5–G5 Gap,
2015,12455594,3283222,1936151,9172372,
2016,12970708,3462946,2018099,9507762,
2017,13872412,3497118,2153469,10375294,
2018,14460079,3493018,2230654,10967061,
2019,12996211,3465209,2185137,9531002,
2020,9153825,2713508,1887917,6440317,
2021,14917431,4040338,2438182,10877093,
2022,16139692,4167564,2739060,11972128,
2023,16829874,4395052,2766070,12434822,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
WBB AVERAGE REVENUE BY TIER — TREND,,,,,
Year,Power 5,Group of 5,FCS,P5–G5 Gap,
2015,1871004,1822867,1215420,48137,
2016,2124449,1933296,1256170,191153,
2017,1982841,1963837,1305927,19004,
2018,2338325,2047290,1379549,291035,
2019,1955175,1925406,1367332,29769,
2020,2819085,1744541,1295980,1074544,
2021,2878805,2094767,1476781,784038,
2022,3483161,2370648,1598884,1112513,
2023,4295969,2554247,1711621,1741722,
