Knight-Newhouse College Athletics Database — FBS Operating Expenses,,,,,,,,,,,
Source: knightnewhousedata.org/fbs | All amounts in millions ($M) | Current dollars,,,,,,,,,,,
,,,,,,,,,,,
Expense Category,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2015-2024 Growth
Athletic Student Aid,954.64,1062.98,1124.76,1156.64,1185.18,1167.66,1171.23,1226.16,1277.31,1346.15,0.410112712645605
Non-Coaching Athletics Staff Compensation,1163.01,1220.81,1319.76,1417.57,1485.76,1551.72,1428.38,1635.69,1841.72,2006.37,0.725152836175097
Coaches Compensation,1279.72,1347,1433.6,1562.72,1668.27,1727.54,1703.05,1909.99,2062.33,2315.56,0.80942706216985
"Facilities, Debt Service, and Equipment",1526.23,1624.01,1764.7,1893.73,1962.39,1938.32,1739.4,2089.6,2413.37,2640.91,0.730348636837174
Game Expenses and Travel,790.74,907.53,952.76,969.44,1018.55,889.5,563.07,1095.09,1302.13,1426.13,0.803538457647267
Recruiting,116.65,120.99,134.58,145.88,163.13,121.39,32.9,175.43,218.14,241.86,1.07338191170167
Competition Guarantees - Expenses,162.21,172.39,175.65,173.25,192.39,189.25,36.15,204.34,212.88,220.89,0.361753282781579
Medical,95.89,99.09,106.09,109.8,112.8,114.56,184.98,130.86,138.53,155.44,0.621024090103243
Other Expenses,842.48,771.51,817.19,844.12,850.5,776.07,507.97,849.72,1032.54,1156.79,0.373077105687969
Total Coaching Severance,53.65,65.51,80.61,156.34,96.72,78.24,116.83,159.59,147.21,188.15,2.50698974836906
Excess Transfers Back,32.11,47.58,67.6,48.37,52.37,52.73,17.47,35.61,39.2,28.33,-0.117720336343818
Student-Athlete Meals (Non-Travel),N/A,84.1,101.81,121.64,142.03,136.33,135.3,182.61,229.56,264.19,2.14137931034483
TOTAL EXPENSES,7017.32,7523.5,8079.1,8599.49,8930.08,8743.29,7636.73,9694.69,10914.91,11990.77,0.708739233781558
,,,,,,,,,,,
Percentage Share of Total Expenses,,,,,,,,,,,
Expense Category,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,
Athletic Student Aid,0.136040539693216,0.141287964378281,0.13921847730564,0.134500999477876,0.132717736011324,0.133549270354752,0.153367999130518,0.12647748406602,0.117024327273427,0.11226551756059,
Non-Coaching Athletics Staff Compensation,0.16573421192136,0.162266232471589,0.163354829127007,0.164843496532934,0.166377008940569,0.17747552694695,0.187040788400271,0.168720196313652,0.168734327630736,0.167326201736836,
Coaches Compensation,0.182365917472767,0.179039011098558,0.177445507544157,0.181722404468172,0.186814675792378,0.197584662066568,0.223007753318502,0.197014035518413,0.188946129652008,0.193111868545556,
"Facilities, Debt Service, and Equipment",0.217494713081347,0.215858310626703,0.218427795175205,0.220214222006189,0.219750550946912,0.221692292031947,0.227767644004698,0.21554067226492,0.221107640832586,0.220245238629379,
Game Expenses and Travel,0.112684044621023,0.120626038412973,0.117928977237564,0.112732266680931,0.114058328704782,0.101735159190648,0.0737318197710277,0.112957711902082,0.11929828097529,0.118935648002589,
Recruiting,0.0166231552786534,0.0160816109523493,0.0166577960416383,0.0169637966902688,0.0182674735276728,0.0138837897404753,0.00430812664582878,0.018095472882578,0.01998550606464,0.0201705144873932,
Competition Guarantees - Expenses,0.0231156623896302,0.0229135375822423,0.0217412830637076,0.0201465435740957,0.0215440399190153,0.0216451701819338,0.00473370146646536,0.0210775176926751,0.0195035964565901,0.0184216693339961,
Medical,0.0136647609058729,0.0131707317073171,0.0131314131524551,0.0127681990443619,0.0126314657875405,0.0131026192657455,0.0242224093296476,0.0134981108214909,0.0126918133085843,0.0129633042748714,
Other Expenses,0.120057229825631,0.102546687047252,0.101148642794371,0.0981593094474207,0.0952399082650995,0.088761781892171,0.0665166897350044,0.0876479804924139,0.094599039295789,0.0964733707676821,
Total Coaching Severance,0.0076453688872675,0.00870738353160099,0.00997759651446325,0.0181801478924913,0.010830810026338,0.008948576565572,0.0152984327061452,0.0164615887666341,0.0134870557796629,0.0156912358422353,
Excess Transfers Back,0.0045758209686889,0.00632418422276866,0.00836726863140696,0.0056247521655354,0.00586444914267285,0.00603091056112745,0.00228762834354495,0.00367314478338142,0.00359141761132249,0.00236265060542401,
Student-Athlete Meals (Non-Travel),N/A,0.0111783079683658,0.0126016511740169,0.0141450248793824,0.0159046727464928,0.0155925286705577,0.0177170071483475,0.0188360844957394,0.0210317812973263,0.0220327802134475,
