#,Team,Conference,Subdivision,Tier
1,Abilene Christian,United Athletic,FCS,Non-Power 4
2,Air Force,Mountain West,FBS,Non-Power 4
3,Akron,MAC,FBS,Non-Power 4
4,Alabama,SEC,FBS,Power 4
5,Alabama A&M,SWAC,FCS,Non-Power 4
6,Alabama State,SWAC,FCS,Non-Power 4
7,Alcorn State,SWAC,FCS,Non-Power 4
8,Appalachian State,Sun Belt,FBS,Non-Power 4
9,Arizona,Big 12,FBS,Power 4
10,Arizona State,Big 12,FBS,Power 4
11,Arkansas,SEC,FBS,Power 4
12,Arkansas State,Sun Belt,FBS,Non-Power 4
13,Arkansas-Pine Bluff,SWAC,FCS,Non-Power 4
14,Army,American,FBS,Non-Power 4
15,Auburn,SEC,FBS,Power 4
16,Austin Peay,United Athletic,FCS,Non-Power 4
17,BYU,Big 12,FBS,Power 4
18,Ball State,MAC,FBS,Non-Power 4
19,Baylor,Big 12,FBS,Power 4
20,Bethune-Cookman,SWAC,FCS,Non-Power 4
21,Boise State,Mountain West,FBS,Non-Power 4
22,Boston College,ACC,FBS,Power 4
23,Bowling Green,MAC,FBS,Non-Power 4
24,Brown,Ivy League,FCS,Non-Power 4
25,Bryant,CAA,FCS,Non-Power 4
26,Bucknell,Patriot,FCS,Non-Power 4
27,Buffalo,MAC,FBS,Non-Power 4
28,Butler,Pioneer,FCS,Non-Power 4
29,Cal Poly,Big Sky,FCS,Non-Power 4
30,California,ACC,FBS,Power 4
31,Campbell,CAA,FCS,Non-Power 4
32,Central Arkansas,United Athletic,FCS,Non-Power 4
33,Central Connecticut State,NEC,FCS,Non-Power 4
34,Central Michigan,MAC,FBS,Non-Power 4
35,Charleston Southern,OVC-Big South,FCS,Non-Power 4
36,Charlotte,American,FBS,Non-Power 4
37,Chattanooga,SoCon,FCS,Non-Power 4
38,Cincinnati,Big 12,FBS,Power 4
39,Clemson,ACC,FBS,Power 4
40,Coastal Carolina,Sun Belt,FBS,Non-Power 4
41,Colgate,Patriot,FCS,Non-Power 4
42,Colorado,Big 12,FBS,Power 4
43,Colorado State,Mountain West,FBS,Non-Power 4
44,Columbia,Ivy League,FCS,Non-Power 4
45,Cornell,Ivy League,FCS,Non-Power 4
46,Dartmouth,Ivy League,FCS,Non-Power 4
47,Davidson,Pioneer,FCS,Non-Power 4
48,Dayton,Pioneer,FCS,Non-Power 4
49,Delaware,Conference USA,FBS,Non-Power 4
50,Delaware State,MEAC,FCS,Non-Power 4
51,Drake,Pioneer,FCS,Non-Power 4
52,Duke,ACC,FBS,Power 4
53,Duquesne,NEC,FCS,Non-Power 4
54,East Carolina,American,FBS,Non-Power 4
55,East Tennessee State,SoCon,FCS,Non-Power 4
56,East Texas A&M,Southland,FCS,Non-Power 4
57,Eastern Illinois,OVC-Big South,FCS,Non-Power 4
58,Eastern Kentucky,United Athletic,FCS,Non-Power 4
59,Eastern Michigan,MAC,FBS,Non-Power 4
60,Eastern Washington,Big Sky,FCS,Non-Power 4
61,Elon,CAA,FCS,Non-Power 4
62,FIU,Conference USA,FBS,Non-Power 4
63,Florida,SEC,FBS,Power 4
64,Florida A&M,SWAC,FCS,Non-Power 4
65,Florida Atlantic,American,FBS,Non-Power 4
66,Florida State,ACC,FBS,Power 4
67,Fordham,Patriot,FCS,Non-Power 4
68,Fresno State,Mountain West,FBS,Non-Power 4
69,Furman,SoCon,FCS,Non-Power 4
70,Gardner-Webb,OVC-Big South,FCS,Non-Power 4
71,Georgetown,Patriot,FCS,Non-Power 4
72,Georgia,SEC,FBS,Power 4
73,Georgia Southern,Sun Belt,FBS,Non-Power 4
74,Georgia State,Sun Belt,FBS,Non-Power 4
75,Georgia Tech,ACC,FBS,Power 4
76,Grambling State,SWAC,FCS,Non-Power 4
77,Hampton,CAA,FCS,Non-Power 4
78,Harvard,Ivy League,FCS,Non-Power 4
79,Hawai'i,Mountain West,FBS,Non-Power 4
80,Holy Cross,Patriot,FCS,Non-Power 4
81,Houston,Big 12,FBS,Power 4
82,Houston Christian,Southland,FCS,Non-Power 4
83,Howard,MEAC,FCS,Non-Power 4
84,Idaho,Big Sky,FCS,Non-Power 4
85,Idaho State,Big Sky,FCS,Non-Power 4
86,Illinois,Big Ten,FBS,Power 4
87,Illinois State,MVFC,FCS,Non-Power 4
88,Incarnate Word,Southland,FCS,Non-Power 4
89,Indiana,Big Ten,FBS,Power 4
90,Indiana State,MVFC,FCS,Non-Power 4
91,Iowa,Big Ten,FBS,Power 4
92,Iowa State,Big 12,FBS,Power 4
93,Jackson State,SWAC,FCS,Non-Power 4
94,Jacksonville State,Conference USA,FBS,Non-Power 4
95,James Madison,Sun Belt,FBS,Non-Power 4
96,Kansas,Big 12,FBS,Power 4
97,Kansas State,Big 12,FBS,Power 4
98,Kennesaw State,Conference USA,FBS,Non-Power 4
99,Kent State,MAC,FBS,Non-Power 4
100,Kentucky,SEC,FBS,Power 4
101,LSU,SEC,FBS,Power 4
102,Lafayette,Patriot,FCS,Non-Power 4
103,Lamar,Southland,FCS,Non-Power 4
104,Lehigh,Patriot,FCS,Non-Power 4
105,Liberty,Conference USA,FBS,Non-Power 4
106,Lindenwood,OVC-Big South,FCS,Non-Power 4
107,Long Island University,NEC,FCS,Non-Power 4
108,Louisiana,Sun Belt,FBS,Non-Power 4
109,Louisiana Tech,Conference USA,FBS,Non-Power 4
110,Louisiana-Monroe,Sun Belt,FBS,Non-Power 4
111,Louisville,ACC,FBS,Power 4
112,Maine,CAA,FCS,Non-Power 4
113,Marist,Pioneer,FCS,Non-Power 4
114,Marshall,Sun Belt,FBS,Non-Power 4
115,Maryland,Big Ten,FBS,Power 4
116,McNeese,Southland,FCS,Non-Power 4
117,Memphis,American,FBS,Non-Power 4
118,Mercer,SoCon,FCS,Non-Power 4
119,Mercyhurst,NEC,FCS,Non-Power 4
120,Merrimack,FCS Independent,FCS,Non-Power 4
121,Miami (FL),ACC,FBS,Power 4
122,Miami (OH),MAC,FBS,Non-Power 4
123,Michigan,Big Ten,FBS,Power 4
124,Michigan State,Big Ten,FBS,Power 4
125,Middle Tennessee,Conference USA,FBS,Non-Power 4
126,Minnesota,Big Ten,FBS,Power 4
127,Mississippi State,SEC,FBS,Power 4
128,Mississippi Valley State,SWAC,FCS,Non-Power 4
129,Missouri,SEC,FBS,Power 4
130,Missouri State,Conference USA,FBS,Non-Power 4
131,Monmouth,CAA,FCS,Non-Power 4
132,Montana,Big Sky,FCS,Non-Power 4
133,Montana State,Big Sky,FCS,Non-Power 4
134,Morehead State,Pioneer,FCS,Non-Power 4
135,Morgan State,MEAC,FCS,Non-Power 4
136,Murray State,MVFC,FCS,Non-Power 4
137,NC State,ACC,FBS,Power 4
