Sport,Year,Rank,Team,5-Star,4-Star,3-Star,Total Commits,Avg Rating,Avg NIL,Score
Football,2026,1,USC,2,20,13,35,91.22,$210K,93.862
Football,2026,2,Notre Dame,3,18,9,30,91.1,$96K,92.958
Football,2026,3,Ohio State,2,16,10,28,91.44,$156K,92.772
Football,2026,4,Oregon,4,12,7,23,92.06,$212K,92.753
Football,2026,5,Georgia,1,20,11,32,90.52,$169K,92.67
Football,2026,6,Alabama,3,11,13,27,91.24,$217K,92.62
Football,2026,7,Texas A&M,1,18,8,27,91.01,$85K,92.039
Football,2026,8,Miami,1,19,11,32,90.07,$155K,91.987
Football,2026,9,Tennessee,2,12,17,31,89.87,$164K,91.95
Football,2026,10,Texas,3,12,9,24,90.33,$234K,91.632
Football,2026,11,Michigan,2,10,13,26,89.42,$75K,90.885
Football,2026,12,LSU,2,10,6,18,91.17,$211K,90.836
Football,2026,13,Florida,0,13,7,20,90.09,$128K,90.056
Football,2026,14,Washington,0,10,15,25,89.08,$63K,90.055
Football,2026,15,Florida State,0,11,23,34,88.28,$60K,89.854
Football,2026,16,Oklahoma,0,9,16,25,88.89,$67K,89.757
Football,2026,17,North Carolina,0,10,30,40,87.88,$34K,89.635
Football,2026,18,South Carolina,0,9,9,18,89.92,$86K,89.585
Football,2026,19,Texas Tech,2,6,13,22,88.85,$107K,89.276
Football,2026,20,West Virginia,0,4,45,49,86.94,$21K,89.082
Football,2026,21,Clemson,0,9,14,23,88.25,$45K,89.01
Football,2026,22,Illinois,0,5,28,33,87.37,$22K,88.777
Football,2026,23,Iowa,0,7,11,18,88.94,$47K,88.607
Football,2026,24,SMU,0,4,19,23,88.08,$23K,88.53
Football,2026,25,BYU,0,7,15,22,88.15,$57K,88.502
Football,2026,26,Ole Miss,0,6,16,23,87.71,$52K,88.336
Football,2026,27,Missouri,0,4,19,23,87.94,$25K,88.268
Football,2026,28,Mississippi State,0,3,26,29,87.21,$24K,88.245
Football,2026,29,Virginia Tech,0,7,16,23,87.59,$29K,88.228
Football,2026,30,Indiana,0,7,15,22,87.95,$27K,88.129
Football,2026,31,Vanderbilt,1,1,20,22,87.76,$98K,88.045
Football,2026,32,Minnesota,0,5,26,31,87.1,$20K,87.995
Football,2026,33,Syracuse,0,2,25,28,86.69,$23K,87.867
Football,2026,34,Arizona State,0,5,16,21,87.72,$44K,87.716
Football,2026,35,Utah,1,0,18,19,87.77,$63K,87.622
Football,2026,36,Houston,1,2,15,18,87.93,$76K,87.596
Football,2026,37,Rutgers,0,2,21,23,87.16,$17.1K,87.451
Football,2026,38,Georgia Tech,0,1,23,24,86.93,$18.3K,87.415
Football,2026,39,Stanford,0,3,21,24,86.82,$23K,87.412
Football,2026,40,Maryland,1,0,16,17,87.99,$58K,87.391
Football,2026,41,Wake Forest,0,2,28,30,86.39,$16.8K,87.186
Football,2026,42,Auburn,0,5,16,21,87.16,$65K,87.159
Football,2026,43,TCU,0,2,20,22,86.81,$18.3K,87.15
Football,2026,44,Pittsburgh,0,1,20,21,87.09,$19.7K,87.088
Football,2026,45,Arizona,0,4,16,20,87.07,$29K,87.038
Football,2026,46,Arkansas,0,2,21,23,86.49,$22K,87.034
Football,2026,47,Kansas State,0,0,21,21,87.03,$13.1K,87.034
Football,2026,48,NC State,0,1,26,27,86.52,$14.7K,87.028
Football,2026,49,Louisville,0,3,17,20,86.97,$27K,86.935
Football,2026,50,Purdue,0,0,25,25,86.1,$14.1K,86.589
Football,2026,51,Boise State,0,0,34,34,85.24,$12.3K,86.546
Football,2026,52,California,0,2,16,18,86.76,$15K,86.422
Football,2026,53,Kentucky,0,3,13,16,87.37,$35K,86.419
Football,2026,54,Northwestern,0,1,21,22,86.12,$14.7K,86.355
Football,2026,55,Boston College,0,0,24,24,85.96,$11.7K,86.32
Football,2026,56,Iowa State,0,0,27,27,85.59,$10.3K,86.277
Football,2026,57,Michigan State,0,3,17,21,86.19,$27K,86.189
Football,2026,58,Kansas,0,1,17,18,86.43,$15.6K,86.094
Football,2026,59,Baylor,0,2,13,15,87.47,$20K,86.074
Football,2026,60,Cincinnati,0,1,24,25,85.57,$11.8K,85.992
Football,2026,61,Troy,0,0,35,36,84.68,$15.8K,85.89
Football,2026,62,Appalachian State,0,0,29,29,84.99,$12.6K,85.883
Football,2026,63,UCF,0,2,14,16,86.81,$26K,85.856
Football,2026,64,Penn State,0,2,13,15,87.22,$35K,85.827
Football,2026,65,Wisconsin,0,0,15,15,87.17,$13.2K,85.777
Football,2026,66,Colorado,0,2,16,18,86.05,$18K,85.717
Football,2026,67,UCLA,0,0,19,20,85.69,$15.3K,85.656
Football,2026,68,Temple,0,0,33,33,84.72,$11.7K,85.583
Football,2026,69,UNLV,0,0,23,28,84.41,$12.4K,85.578
Football,2026,70,Oklahoma State,0,0,22,23,85.18,$10.9K,85.551
Football,2026,71,Duke,0,2,13,15,86.87,$18.5K,85.475
Football,2026,72,Texas State,0,0,21,22,84.86,$10.3K,85.093
Football,2026,73,Tulane,0,0,18,19,85.21,$11.9K,85.064
Football,2026,74,Colorado State,0,0,28,28,84.44,$13.2K,85.044
Football,2026,75,Memphis,0,0,21,21,84.89,$12.1K,84.886
Football,2026,76,Fresno State,0,0,22,24,84.35,$19K,84.835
Football,2026,77,South Alabama,0,0,31,31,84.13,$10.8K,84.774
Football,2026,78,UTSA,0,0,19,20,84.77,$8.3K,84.73
Football,2026,79,San Diego State,0,0,23,24,84.16,$10.4K,84.568
Football,2026,80,Tulsa,0,0,21,21,84.52,$11K,84.521
Football,2026,81,Western Kentucky,0,0,22,24,84.01,$13.1K,84.516
Football,2026,82,Bowling Green,0,0,27,27,83.93,$10.2K,84.449
Football,2026,83,New Mexico,0,0,23,31,83.14,$9.9K,84.443
Football,2026,84,USF,0,0,17,18,84.72,$11.9K,84.386
Football,2026,85,Charlotte,0,0,27,28,83.81,$10.4K,84.372
Football,2026,86,Arkansas State,0,0,25,28,83.53,$9.3K,84.362
Football,2026,87,James Madison,0,0,19,21,84.19,$12.1K,84.194
Football,2026,88,Oregon State,0,0,16,16,84.96,$13.1K,84.006
Football,2026,89,Georgia State,0,0,20,22,83.77,$9.9K,83.946
Football,2026,90,Northern Illinois,0,0,25,32,82.82,$9.6K,83.937
Football,2026,91,East Carolina,0,0,17,18,84.26,$12.4K,83.923
Football,2026,92,Virginia,0,0,15,15,85.3,$15.9K,83.902
Football,2026,93,Southern Miss,0,0,19,21,83.81,$11.5K,83.812
Football,2026,94,Eastern Michigan,0,0,33,37,82.74,$11.1K,83.811
Football,2026,95,FIU,0,0,21,21,83.77,$11.3K,83.775
Football,2026,96,Utah State,0,0,20,20,83.81,$10.6K,83.771
Football,2026,97,Old Dominion,0,0,24,30,82.77,$12.7K,83.77
Football,2026,98,Nebraska,0,3,8,11,87.91,$40K,83.767
Football,2026,99,Miami (OH),0,0,18,18,84.09,$13.4K,83.751
Football,2026,100,Central Michigan,0,0,31,38,82.51,$9K,83.696
Football,2026,101,UTEP,0,0,24,29,82.67,$9.6K,83.563
Football,2026,102,Ohio,0,0,16,18,83.87,$11.6K,83.538
Football,2026,103,Connecticut,0,0,15,15,84.74,$13K,83.346
Football,2026,104,Rice,0,0,23,25,82.89,$9.7K,83.329
Football,2026,105,Delaware,0,0,20,20,83.33,$10.5K,83.292
Football,2026,106,Buffalo,0,0,18,23,83.01,$11.8K,83.292
Football,2026,107,Jacksonville State,0,0,18,30,82.29,$11.6K,83.27
Football,2026,108,Nevada,0,0,19,27,82.52,$10K,83.253
Football,2026,109,Liberty,0,0,16,19,83.34,$10.8K,83.189
Football,2026,110,Louisiana Tech,0,0,18,26,82.5,$8.9K,83.101
Football,2026,111,Western Michigan,0,0,19,23,82.83,$8.8K,83.095
Football,2026,112,Louisiana-Monroe,0,0,20,25,82.51,$18.1K,82.992
Football,2026,113,Middle Tennessee State,0,0,16,18,83.3,$11.2K,82.965
Football,2026,114,Marshall,0,0,18,20,82.98,$10K,82.948
Football,2026,115,Massachusetts,0,0,19,20,82.97,$10.4K,82.929
Football,2026,116,Coastal Carolina,0,0,15,17,83.53,$12.2K,82.926
Football,2026,117,Wyoming,0,0,18,22,82.7,$9.8K,82.828
Football,2026,118,Kent State,0,0,19,20,82.81,$8.1K,82.777
Football,2026,119,Georgia Southern,0,0,16,22,82.55,$9.3K,82.668
Football,2026,120,Kennesaw State,0,0,15,18,82.96,$12.3K,82.626
Football,2026,121,Toledo,0,0,15,16,83.51,$9.2K,82.557
Football,2026,122,Florida Atlantic,0,0,13,14,84.39,$12.4K,82.464
Football,2026,123,Louisiana,0,0,12,23,82.2,$10.6K,82.448
Football,2026,124,Sam Houston State,0,0,13,18,82.61,$9.6K,82.278
Football,2026,125,Ball State,0,0,12,24,81.96,$9.5K,82.234
Football,2026,126,Hawaii,0,0,15,19,82.32,$12.9K,82.175
Football,2026,127,Sacramento State,0,0,18,29,81.51,$11K,82.082
Football,2026,128,San Jose State,0,0,12,15,83.16,$10.9K,81.766
Football,2026,129,Washington State,0,0,13,13,84.24,$10K,81.679
Football,2026,130,Missouri State University,0,0,8,18,81.73,$12K,81.394
Football,2026,131,North Dakota State,0,0,5,29,80.49,$8.3K,80.671
Football,2026,132,Navy,0,0,3,36,80.35,$10.8K,80.603
Football,2026,133,Akron,0,0,8,14,82.5,$13.3K,80.578
Football,2026,134,Idaho,0,0,6,17,80.96,$8.3K,80.36
Football,2026,135,Army,0,0,2,23,80.25,$11.8K,80.278
Football,2026,136,Air Force,0,0,1,17,80.1,$13.6K,79.496
Football,2026,137,South Dakota State,0,0,5,14,80.94,$15.8K,79.009
Football,2026,138,UAB,0,0,8,12,82.09,$11.4K,78.8
Football,2026,139,New Mexico State,0,0,6,11,82.04,$9.6K,77.898
