Combined Football & Basketball Recruiting Rankings (2021-2026),,,,,,,,,,
Rank,Team,Sport,Year,5-Star,4-Star,3-Star,Total Commits,Avg Rating,Avg NIL,Score
1,USC,Football,2026,2,20,13,35,91.22,$210K,93.862
2,Notre Dame,Football,2026,3,18,9,30,91.1,$96K,92.958
3,Ohio State,Football,2026,2,16,10,28,91.44,$156K,92.772
4,Oregon,Football,2026,4,12,7,23,92.06,$212K,92.753
5,Georgia,Football,2026,1,20,11,32,90.52,$169K,92.67
6,Alabama,Football,2026,3,11,13,27,91.24,$217K,92.62
7,Texas A&M,Football,2026,1,18,8,27,91.01,$85K,92.039
8,Miami,Football,2026,1,19,11,32,90.07,$155K,91.987
9,Tennessee,Football,2026,2,12,17,31,89.87,$164K,91.95
10,Texas,Football,2026,3,12,9,24,90.33,$234K,91.632
11,Michigan,Football,2026,2,10,13,26,89.42,$75K,90.885
12,LSU,Football,2026,2,10,6,18,91.17,$211K,90.836
13,Florida,Football,2026,0,13,7,20,90.09,$128K,90.056
14,Washington,Football,2026,0,10,15,25,89.08,$63K,90.055
15,Florida State,Football,2026,0,11,23,34,88.28,$60K,89.854
16,Oklahoma,Football,2026,0,9,16,25,88.89,$67K,89.757
17,North Carolina,Football,2026,0,10,30,40,87.88,$34K,89.635
18,South Carolina,Football,2026,0,9,9,18,89.92,$86K,89.585
19,Texas Tech,Football,2026,2,6,13,22,88.85,$107K,89.276
20,West Virginia,Football,2026,0,4,45,49,86.94,$21K,89.082
21,Clemson,Football,2026,0,9,14,23,88.25,$45K,89.01
22,Illinois,Football,2026,0,5,28,33,87.37,$22K,88.777
23,Iowa,Football,2026,0,7,11,18,88.94,$47K,88.607
24,SMU,Football,2026,0,4,19,23,88.08,$23K,88.53
25,BYU,Football,2026,0,7,15,22,88.15,$57K,88.502
26,Ole Miss,Football,2026,0,6,16,23,87.71,$52K,88.336
27,Missouri,Football,2026,0,4,19,23,87.94,$25K,88.268
28,Mississippi State,Football,2026,0,3,26,29,87.21,$24K,88.245
29,Virginia Tech,Football,2026,0,7,16,23,87.59,$29K,88.228
30,Indiana,Football,2026,0,7,15,22,87.95,$27K,88.129
31,Vanderbilt,Football,2026,1,1,20,22,87.76,$98K,88.045
32,Minnesota,Football,2026,0,5,26,31,87.1,$20K,87.995
33,Syracuse,Football,2026,0,2,25,28,86.69,$23K,87.867
34,Arizona State,Football,2026,0,5,16,21,87.72,$44K,87.716
35,Utah,Football,2026,1,0,18,19,87.77,$63K,87.622
36,Houston,Football,2026,1,2,15,18,87.93,$76K,87.596
37,Rutgers,Football,2026,0,2,21,23,87.16,$17.1K,87.451
38,Georgia Tech,Football,2026,0,1,23,24,86.93,$18.3K,87.415
39,Stanford,Football,2026,0,3,21,24,86.82,$23K,87.412
40,Maryland,Football,2026,1,0,16,17,87.99,$58K,87.391
41,Wake Forest,Football,2026,0,2,28,30,86.39,$16.8K,87.186
42,Auburn,Football,2026,0,5,16,21,87.16,$65K,87.159
